query_id	nugget_id	timestamp	importance	nugget_len	nugget_text
27	VM29.027	1351791452	1	63	140 fishermen reported to have been stranded off Nellore coast.
27	VM29.028	1351791452	1	46	Coast Guard trying to rescue stranded families
27	VM29.029	1351791452	2	67	150,000 people were shifted to cyclone shelters in Nellore district
27	VM29.033	1351863734	2	56	12,000 poor had remained hungry over the past three days
27	VM29.034	1351863734	2	62	no government official had visited the storm affected villages
27	VM29.041	1351945813	1	116	On November 3rd, Sri Lanka's Disaster Management Centre reported that the process of relief and recovery had started
27	VM29.043	1352319053	1	162	Later, as the Andhra Pradesh government conducted their review on the storm, it was revealed that the state suffered huge economic losses of {{INRConvert|200|c}}.
27	VM29.044	1353063495	1	112	coastal districts of Indian states Tamil Nadu and Andhra Pradesh set up helpline number for disaster emergencies
27	VM29.045	1353267850	1	47	Chennai's Marina Beach, eroded by strong winds.
27	VM29.046	1353267850	1	46	Sailors being rescued from MV Prathiba Cauvery
27	VM29.047	1353267850	1	22	Storm surge in Chennai
28	VM30.001	1366803001	3	27	On Wednesday, 24 April 2013
28	VM30.002	1366803001	3	30	Eight story building collapsed
28	VM30.003	1366803001	2	38	19 people were killed, initial reports
28	VM30.004	1366803001	2	28	200 injured, initial reports
28	VM30.005	1366803332	2	17	Rising death toll
28	VM30.007	1366810065	3	40	The building contained garment factories
28	VM30.008	1366810065	2	29	The building contained a bank
28	VM30.009	1366810065	2	28	The building contained shops
28	VM30.010	1366810065	1	34	Collapsed during morning rush hour
28	VM30.011	1366811560	3	68	Thousands of people were in the building at the time of the collapse
28	VM30.014	1366821193	2	22	Many victims are women
28	VM30.015	1366821193	2	24	Victims include children
28	VM30.016	1366821339	3	48	Cracks in the building discovered the day before
28	VM30.017	1366822131	3	42	Warnings to vacate after cracks discovered
28	VM30.018	1366822945	1	26	Building called Rana Plaza
28	VM30.020	1366822945	3	48	The garment factories employ around 5,000 people
28	VM30.021	1366823292	3	70	Evacuation orders ignored; factory supervisors order workers to return
28	VM30.022	1366823492	2	33	Only the ground floor left intact
28	VM30.023	1366824081	1	49	Factories manufactured apparel for various brands
28	VM30.025	1366824938	2	23	Rising count of injured
28	VM30.026	1366835899	2	40	Multiple services join in rescue efforts
28	VM30.027	1366836124	1	39	A national day of mourning on 25 April.
28	VM30.031	1366849490	2	34	Building owner Mohammed Sohel Rana
28	VM30.035	1366892177	2	45	Lower floors had been evacuated after warning
28	VM30.037	1366895785	2	35	Legal action against building owner
28	VM30.043	1367032564	3	30	Many reported missing, trapped
28	VM30.044	1367032564	2	19	Bangladesh protests
28	VM30.047	1367072133	3	17	Cause of collapse
28	VM30.048	1367093291	2	25	Rescue & recovery efforts
28	VM30.050	1367109487	2	30	Bangladesh government response
28	VM30.053	1367150969	2	14	Factory owners
28	VM30.056	1367193477	2	72	Fire at the collapse site; forced temporary suspension of rescue efforts
28	VM30.059	1367433070	1	51	Compensation offered to the victims of the collapse
28	VM30.061	1367480140	1	37	International advocacy group response
28	VM30.064	1367597948	1	50	Dhaka authorities reject United Nations assistance
28	VM30.068	1367729797	1	45	Deadliest garment-factory accident in history
28	VM30.069	1367766911	1	52	International protests against garment manufacturers
28	VM30.070	1367768830	1	58	International garment brands response to collapse disaster
28	VM30.072	1367963644	1	35	International governments' response
28	VM30.075	1368035740	2	46	New safety measures enacted following collapse
28	VM30.076	1368172744	1	35	Arrests in connection with collapse
28	VM30.078	1369655467	3	39	The search for the dead ended on 13 May
28	VM30.079	1369655467	3	26	13 May death toll of 1,129
28	VM30.080	1370886119	1	104	Inspectors suspended for negligence for renewing the licenses of garment factories in collapsed building
28	VM30.081	1369037964	3	39	Approximately 2,500 people were injured
29	VM31.001	1361474810	3	96	On 21 February 2013, Thursday evening two serial blasts occurred in the Indian city of Hyderabad
29	VM31.002	1361474810	3	26	killing 9 and injuring 32.
29	VM31.003	1361475016	3	42	The blasts occurred  in Dilsukh nagar area
29	VM31.004	1361475313	2	64	The 2013 Hyderabad blasts occurred at about 7pm in Dilsukh Nagar
29	VM31.005	1361475313	2	21	Three blasts occurred
29	VM31.006	1361475313	3	50	The simultaneous blastsoccurred near the bus stop 
29	VM31.007	1361475533	2	31	there were two loud explosions.
29	VM31.008	1361476107	3	58	The third blast reportedly occurred near Venkatadri theate
29	VM31.009	1361476625	3	21	About 50 were injured
29	VM31.010	1361478019	3	67	Another blast took place at a eating join within the same locality.
29	VM31.011	1361478019	3	47	bombs were placed in bi-cycles in tiffin boxes.
29	VM31.012	1361478720	2	165	.Elite teams of National Investigation Agency (NIA) and the National Security Guard (NSG) also flew to Hyderabad, minutes after the blasts for further investigation.
29	VM31.013	1361480109	3	65	Indian Mujahideen was suspected to been involved with the blasts.
29	VM31.014	1361480109	3	74	Harkat-ul-Jihad al-Islami and Lashkar-e-Toiba were also the prime suspect.
29	VM31.015	1361480386	3	71	this could be a terror strike by a well planned and well trained group,
29	VM31.016	1361480386	3	42	explosions planned to cause maximum damage
29	VM31.017	1361480386	2	123	 Prime Minister Manmohan Singh sanctioned {compensation for  next of kin of those killed and { for those seriously injured.
29	VM31.018	1361483138	1	107	National Security Guard (NSG) also flew to Hyderabad, on a plane provided by the Border Security Force (BSF
29	VM31.019	1361484146	3	97	The bombs exploded in Dilsukhnagar, a crowded area  of the city, within 150 metres of each other.
29	VM31.020	1361484601	2	107	Home Minister Sushil Kumar Shinde claimed that the Indian government had intelligence about possible blasts
29	VM31.021	1361484601	2	86	but the information wasn't specific enough to pinpoint the location of the blast site.
29	VM31.022	1361485738	3	40	Blasts occurred in crowded market place,
29	VM31.023	1361485856	3	47	blasts are reported to be only 10 minutes apart
29	VM31.024	1361485856	2	97	Major cities accross the nation were immediately put on high alert as a response to the bombings.
29	VM31.025	1361485856	2	56	Other sources indicate a possible link to the separtist.
29	VM31.026	1361487253	1	128	Indian President [[Pranab Mukherjee offered condolences to the bereaved families and condemned the blasts as "acts of cowardice"
29	VM31.027	1361487779	3	31	bombs were planted in bicycles 
29	VM31.028	1361487779	3	67	bombs detonated with timers that had an affect over 50 meters area.
29	VM31.029	1361487779	3	65	2nd Blast:19:06 at Venkatadri Theatre and Dilsukhnagar Bus Stand.
29	VM31.030	1361487890	3	46	Improvised explosive devices used in bombings 
29	VM31.031	1361488422	3	60	1st Blast: 19:01 at Anand Tiffins oppositeVenkatadri Theatre
29	VM31.032	1361488510	2	97	An alert was sent to all states  about a possibility of a bombing  two days prior to the bombing.
29	VM31.033	1361488510	2	73	And the Third Bomb that did not go off was diffused by the bombing squad.
29	VM31.034	1361490132	2	96	The Chief Minister of Andhra Pradesh announced a compensation to the next of kin of those killed
29	VM31.035	1361490132	2	57	And promised to bear the medical expenses of the injured.
29	VM31.036	1361491541	3	92	Improvised Explosive Devices (IEDs) had been used in the two blasts to cause maximum damage.
29	VM31.037	1361494353	2	89	Police were confronted with crowds and  massive traffic jams at the site of the explosion
29	VM31.038	1361495068	1	88	officials from the [[National Investigation Agency were shifted from Delhi to Hyderabad.
29	VM31.039	1361495447	3	109	The explosions reportedly occurred two minutes apart in the early evening outside a cinema and a bus station.
29	VM31.040	1361497567	2	138	Delhi police interrogation report regarding anIndian Mujahideen named Maqbool would reveal a confession regarding a recce in Dilsukhnagar.
29	VM31.042	1361524464	3	183	The bombs exploded in Dilsukhnagar,which isa hubof students and youth in lookout for jobs asthe area has more coaching institutes and is also approach for many colleges in the suburbs
29	VM31.043	1361524877	2	46	Dilsukhnagar,a crowded Hindu dominated suburbo
29	VM31.044	1361527892	1	87	Home minister Sushilkumar Shinde visited the blast site on the morning of 22nd February
29	VM31.045	1361527892	2	85	investigation has begun and the Andhra Pradesh government has appointed a probe team.
29	VM31.046	1361529160	1	137	UN Secretary General Ban Ki-moon also condemned the terrorist attack in Hyderabad and offered condolences to the families of the victims.
29	VM31.047	1361529160	2	134	"The Secretary-General strongly condemns the indiscriminate attacks against civilians which occurred in the Indian city of Hyderabad,"
29	VM31.048	1361539571	1	141	Pakistan also strongly condemned the bomb blasts saying terrorism in all its forms is one of the most serious threats to international peace.
29	VM31.049	1361539571	2	154	"Pakistan strongly condemns the bomb blasts in Hyderabad causing several deaths and injuries," foreign office spokesman Moazzam Khan said in a statement.U
29	VM31.050	1361540322	1	148	Leader of Opposition in the Lok Sabha and senior Bharatiya Janata Party (BJP) leader Sushma Swaraj said political parties must fight terror unitedly
29	VM31.051	1361540322	1	122	while pulling up the Central and Andhra Pradesh governments for their failure to prevent the twin explosions in Hyderabad.
29	VM31.052	1361540322	1	128	But, if there was information, the blame doubles. If there was information, what was the Centre, the state doing?" asked Sushma.
29	VM31.053	1361540322	1	167	The nation needs to be united, the political parties need to get united. The moment that happens, we will be capable of fighting terror," Swaraj said in the Lok Sabha.
29	VM31.054	1361540705	1	61	The US strongly condemned the "cowardly attack" in Hyderabad,
29	VM31.055	1361540705	1	125	US saying that it stood with India in battling the "scourge of terrorism" and offered its assistance in probing the incident.
29	VM31.056	1361540705	2	115	US Secretary of State John Kerry personally expressed condolences at the loss of lives in the Hyderabad bomb blasts
29	VM31.057	1361540705	1	43	Kerry condemned terror attacks in Hyderabad
29	VM31.058	1361540705	2	30	US offers assistance in probe|
29	VM31.059	1361541155	2	147	Two FIRs were lodged on the next day (February 22). One FIR was lodged in Cyberabads Saroor police station, while a second was lodged in Hyderabad.
29	VM31.060	1361543388	2	183	Home minister Sushilkumar Shinde said that Authorities had received intelligence about possible attacks in the country but no specific information as to where or when they might occur
29	VM31.061	1361551158	3	27	The attack killed 17 people
29	VM31.062	1361551325	3	32	The attack injured at-least 119.
29	VM31.063	1361592924	1	120	The Ministry of Foreign Affairs of Turkey reported that, "We condemn this terrorist attack which killed innocent people.
29	VM31.064	1361592924	1	114	Turkey would like convey our condolences to their bereaved families and wish a speedy recovery to those wounded".*
29	VM31.065	1361605804	1	145	twitter users at-large believe that the blats occurring just after MIM Legislator Akbaruddin Owaisi was released from Jail was not a co-incidence
29	VM31.066	1361605804	1	42	Owaisi was in jail for alleged hate-speech
29	VM31.067	1361605804	1	85	The video in-which he was seen instigating riots and justifying terrorist activities)
29	VM31.068	1361625556	2	108	Hyderabad Police continued investigating in the serial blasts case, they detained six people for questioning
29	VM31.069	1361625556	2	117	The NIA conducted raids at various places in Uttar Pradesh, Bihar and Maharashtra, looking for alleged terror modules
29	VM31.070	1361625556	3	178	Forensic investigation revealed that the two bombs used were packed with huge amounts of iron nails and bolts and ammonium nitrate, which were held together with a copper string.
29	VM31.071	1361626192	3	176	Closed-circuit television footage collected from the traffic signal near the blast site revealed movements of five men who allegedly had planted explosives at the blast sites. 
29	VM31.072	1361626192	2	95	Images of suspects recorded but the faces of the suspects were not clearly seen. == Response ==
29	VM31.073	1361633602	1	287	BJ party spokesman said, The government should stop playing politics on the issue of terrorism. We want the government to take appropriate action. There should be better coordination between the Centre and the state governments. [..]This government should rise above vote-bank politics.”
29	VM31.074	1361633986	1	194	Home Minister Sushilkumar Shinde visited the blast site on the morning of 22 February and said that an investigation had been launched by a probe team appointed by the Andhra Pradesh government.
29	VM31.075	1361640360	1	240	Shinde says, It is unfortunate that govt let them to take 15 lives even though they were aware of the incident. Shinde is the most weak home minister India has ever seen, with his soft concern over terrorism which took so may innocent lives
29	VM31.076	1361640431	2	97	Police sources later said that a Sai Baba temple in the area was the initial target of the attack
29	VM31.077	1361640431	2	126	The Delhi Police Special Cell had initially warned intelligence agencies about the possibility of an attack in September 2012.
29	VM31.078	1361640431	2	62	One of the four suspected Indian Mujahideen was also arrested.
29	VM31.079	1361640431	1	153	Imran Khan had also revealed police about the possible attacks in Hyderabad's densely populated areas. However, most of these alerts were taken casually.
29	VM31.080	1361641329	1	121	The Andhra Pradesh government claimed that it had obtained vital clues regarding the crime and would crack the case soon.
29	VM31.081	1361641329	1	108	Chief minister Reddy sent out 15 special teams of Andhra Pradesh police, consisting of 10-15 personnel each.
29	VM31.082	1361641329	2	89	People lodged in the Chanchalguda Central Jail were also questioned regarding the blasts.
29	VM31.083	1361643313	2	44	Destroyed bus shelter due to the first blast
29	VM31.085	1361675469	1	138	suspected Indian Mujahideen had revealed under interrogation that they had surveyed crowded areas, especially marketplaces in Hyderabad; i
29	VM31.086	1362739669	1	222	State Department spokesperson Victoria Nuland stated "We condemn the cowardly attack in Hyderabad, India, in the strongest possible terms, and we extend our deepest sympathies to those affected and to the people of India."
29	VM31.087	1366130780	1	228	BJP leader  controversially linked the twin blasts with a provocative speech made earlier by Akbaruddin Owaisi stating "Do these blasts have a connection with the provocative speeches made by an honourable member of this house?"
29	VM31.088	1366130780	1	72	Asaduddin Owaisi his brother described "unfortunate" and "irresponsible"
30	VM32.001	1330889314	2	7	March 4
30	VM32.002	1330889314	3	27	incident killed 150 people.
30	VM32.003	1330889314	3	19	blast at arms dump 
30	VM32.004	1330908322	3	27	killed at least 120 people.
30	VM32.005	1330910349	2	11	Brazzaville
30	VM32.006	1330910349	2	35	hospitals overflowing with injuries
30	VM32.007	1330914656	3	20	killed at least 200 
30	VM32.008	1330914656	1	37	the dead included six Chinese workers
30	VM32.009	1330914656	1	75	at a Beijing Construction Engineering Group work site close to the armoury.
30	VM32.010	1330936680	1	36	Early Sunday around 08:00 local time
30	VM32.011	1330936680	2	48	series of explosions continued for several hours
30	VM32.012	1330936680	2	29	blasts felt for several miles
30	VM32.013	1330936680	2	25	causing widespread panic 
30	VM32.014	1330936680	3	41	people thought armed conflict had started
30	VM32.015	1330936680	1	10	 urge calm
30	VM32.016	1330936680	3	50	explosions caused by a fire at the munitions depot
30	VM32.017	1330936680	1	47	Many people were trapped in collapsed buildings
30	VM32.018	1330936680	1	45	collapsed buildings, including a large church
30	VM32.019	1330936680	1	56	In Kinshasa, DRC, roofs were damaged and windows broken.
30	VM32.020	1330937475	3	23	confirmed dead were 206
30	VM32.021	1330937475	1	59	136 recovered bodies and 70 people who died in the hospital
30	VM32.022	1330937475	3	37	Total injured was estimated at 2,000.
30	VM32.023	1330937475	3	99	The DRC sent military personal to the Congo River until it became clear that war had not broken out
30	VM32.024	1330937475	1	59	streets of Brazzaville covered with metal and other debris.
30	VM32.025	1330937475	3	30	fire caused by a short circuit
30	VM32.026	1330937475	2	46	tank shells, mortars, rockets, other munitions
30	VM32.027	1330937475	1	15	Regiment Blinde
30	VM32.028	1330937475	1	51	area of the blasts was sealed off by police forces.
30	VM32.029	1330937475	1	28	additional bodies unfindable
30	VM32.030	1330940962	2	45	five significant blasts and many smaller ones
30	VM32.031	1330942720	3	107	As a result of the accident, the Congolese government decided to move all military camps out of the capital
30	VM32.032	1330942720	1	42	France immediately sent a shipment of aid.
30	VM32.033	1330961843	2	96	The president of the Republic of the Congo, Denis Sassou-Nguesso, has a residence near the depot
30	VM32.034	1330976199	3	33	thousands of people left homeless
30	VM32.035	1330976199	2	59	Fires spread through the city, burning homes and businesses
30	VM32.036	1330976199	1	26	A curfew was put in effect
30	VM32.037	1330976199	2	94	Rescue operations near the depot were more difficult because of continuing smaller explosions.
30	VM32.038	1330976199	1	136	Many children were found wandering the streets and put in temporary government care until their parents or next of kin could be located.
30	VM32.039	1330976199	1	48	Fires continued to ravage Brazzaville on 5 March
30	VM32.040	1330976199	3	79	fires threatened to ignite a second arms depot with more substantial munitions.
30	VM32.041	1330976199	1	94	Within 24 hours, The French and Russian firefighters joined in efforts to extinguish the fires
30	VM32.042	1330976199	1	62	The World Health Organization sent 2.5 metric tons of medicine
30	VM32.043	1330976199	1	50	The Red Cross set up refugee camps within 24 hours
30	VM32.044	1330983207	1	81	authorities opened two churches and a covered market for the homeless as shelters
30	VM32.045	1330990992	1	78	in the densely populated arrondissement of ouenze, in the north of Brazzaville
30	VM32.046	1330995288	1	74	president of the country not at his residence when the explosions started.
30	VM32.047	1331024194	1	155	Among the destroyed building was the St. Louis Catholic church and a smaller evangelical church, both of which were holding mass at the time of the blasts.
30	VM32.048	1331029193	3	25	213 people confirmed dead
30	VM32.049	1331029193	1	64	event described as feeling like apocalypse, tsunami, earthquake.
30	VM32.050	1331046454	1	111	Within 24 hours, American and French officials met with Republic of the Congo officials to discuss aid efforts.
30	VM32.051	1331049533	3	25	236 people confirmed dead
30	VM32.052	1331066543	2	99	Buildings within a half-kilometer of the military camp were completely flattened by the explosions.
30	VM32.053	1331071074	3	79	promise to move barracks had also been made three years ago after an explosion.
30	VM32.054	1331071074	3	50	five barracks and munitions depots in Brazzaville.
30	VM32.055	1331117549	3	25	246 people confirmed dead
30	VM32.056	1331211376	3	58	As of March 7, there was still no effective rescue effort.
30	VM32.057	1331211376	1	88	Red Cross was barred from entering the blast zone because of risk of further explosions,
30	VM32.058	1331211376	1	80	soldiers allowed in were concentrating on extinguishing the still burning flames
30	VM32.059	1331288637	3	24	At least 250 people dead
30	VM32.060	1331288637	2	106	The Republic of Congo announced it would pay 3 million CFA francs (US$6,051) to the family of each victim.
30	VM32.061	1334451396	1	67	UN experts, foreign armies, and NGOs helped clean up the blast site
30	VM32.062	1334451396	3	47	In early April, a cholera outbreak was reported
30	VM32.063	1334451396	3	127	The poor hygenic and sanitary conditions in the sites for the displaced people and the ongoing rains helped spread the disease.
30	VM32.064	1334451396	2	121	The covered market in Nkombo in northern Brazzaville and the Sacred Heard Cathedral in downtown were the worst hit sites.
30	VM32.065	1334451396	2	102	Together the two places provided refuge for 11000 of the 14000 displaced people due to the explosions.
30	VM32.066	1334451774	1	45	16 tons of munitions collected and destroyed.
31	VM35.002	1343699131	3	48	2012 power grid failure causes massive blackouts
31	VM35.004	1343699131	3	39	cascade of failures across eight states
31	VM35.005	1343699579	2	89	Power Minister Sushil Kumar Shinde stated that the exact cause of the failure was unknown
31	VM35.006	1343699579	3	81	More than 300 million people were without power, nearly 30% of India's population
31	VM35.007	1343699579	2	63	Railways, hospitals, and airports were shut down until 8:00 AM.
31	VM35.008	1343699772	3	113	At 2:35 AM, a line feeding into the the Agra-Bareilly transmission section, the 400-kV Bina-Gwalior line, tripped
31	VM35.009	1343699772	2	31	estimated shortage of 32,000 MW
31	VM35.010	1343699957	1	50	outage caused "chaos" for Monday morning rush hour
31	VM35.011	1343700016	2	79	Uttar Pradesh, Punjab and Haryana were the states responsible for the overdraw.
31	VM35.012	1343700102	1	85	PGCIL's chairman also stated that electrical service was restored "at a record time".
31	VM35.013	1343700271	1	103	Oil refineries were able to continue operating, however, as they maintained independent power supplies.
31	VM35.014	1343700437	2	76	Something went terribly wrong which caused the backup safety systems to fail
31	VM35.015	1343700666	1	78	Indira Gandhi International Airport was able to remain open with back-up power
31	VM35.016	1343700727	2	50	Within 15 hours, 80% of service had been restored.
31	VM35.018	1343744755	3	89	biggest ever power failure in the history of world affecting more than 600 million people
31	VM35.019	1343753111	1	116	Power Minister Shinde ordered a three-member panel to determine the reason for the failure and report in fifteen day
31	VM35.020	1343754594	1	79	Rajiv Kumar, secretary general of the Federation of Indian Chambers of Commerce
31	VM35.021	1343754594	1	102	“One ofthe major reasons for the collapse of thepower grid is the major gap between demand and supply.
31	VM35.022	1343757168	2	104	Failure in the northern and eastern power grid has affected railway operations across six railway zones.
31	VM35.023	1343757587	1	88	Prime Minister Manmohan Singh's plan for a US$400 billion overhaul of India's power grid
31	VM35.024	1343757587	1	99	plan calls for a further 76,000 megawatts of generation by 2017, produced in part by nuclear power.
31	VM35.026	1343758967	1	96	The late monsoon also meant that hydroelectric plants were running under their usual production.
31	VM35.027	1343767318	1	122	200 miners were trapped underground in eastern India, as lifts failed, but officials later said they had all been rescued.
31	VM35.029	1343809934	1	159	extreme heat had caused power use to reach record levels in Punjab and Haryana drew increased power from the grid for running irrigation pumps to paddy fields.
31	VM35.030	1343838837	1	101	On 1 August 2012, newly appointed Power Minister Moodbidri Veerappa Moily refrained from a blame game
31	VM35.031	1344018386	1	100	Generate power locally to reduce dependence on long distance transmission lines and cut transmission
31	VM35.032	1344018472	1	41	Small micro-grids covering 30-50km radius
31	VM35.033	1344018472	1	55	Small power stations of 5-10MW to serve the micro-grids
31	VM35.034	1344019044	1	67	Some villages that were not connected to the grid were not affected
31	VM35.035	1344177659	1	236	Gwalior and Agra faced "dangerous overloading"  tripping was prevented when the powermen realised that the line load had reached 800MW and scaled it down to 600 MW by cutting off the electricity to many parts that were fed by this line.
31	VM35.036	1346204213	1	52	Weak inter-regional power transmission Corridors due
31	VM35.037	1346204213	2	45	High Loading on 400 kV Bina-Gwalior-Agra link
31	VM35.038	1346204213	1	120	Inadequate response by State Load Disptach Centers (SLDCs) to the instructions of Regional Load Dispatch Centers (RLDCs)
32	VM36.002	1347458480	3	63	In Egypt and Libya, mobs attacks the U.S. embassy and consulate
32	VM36.003	1347458480	3	116	protests against an amateur film that was deemed to have hurt Muslim sentiments for desecrating the Prophet Mohammed
32	VM36.004	1347458480	3	100	Cairo, Egypt, the mob scaled the embassy wall and tore down the flag of the United States of America
32	VM36.005	1347458480	3	52	In Benghazi, Libya, RPGs were fired at the consulate
32	VM36.006	1347458480	3	105	death of the visiting Ambassador Christopher Stevens from smoke inhalation, two of his security personnel
32	VM36.007	1347459716	3	130	protests in both Egypt and Libya were triggered by a two-hour flim entitled "Innocence of Muslims" by Israeli filmmaker Sam Bacile
32	VM36.008	1347459716	1	138	also promoted by Coptic Egyptian Morris Sadek, who had his Egyptian citizenship revoked earlier for promoting calls for an attack on Egypt
32	VM36.009	1347459716	1	71	Bacile also said he had declined distribution offers for the time being
32	VM36.010	1347459716	2	73	The film cost US$5m to make, which was financed by over 100 Jewish donors
32	VM36.011	1347459716	1	80	Sadek also said he had promoted the movie on his website and television stations
32	VM36.012	1347460094	2	33	Sam Bacile later went into hiding
32	VM36.013	1347460094	1	127	he had not changed his stance that Islam was "a cancer" and that the movie was intended to be a provocative political statement
32	VM36.014	1347460160	1	154	He also said that the movie was intended to help Israel by exposing Islam's flaws and that his "plan is to make a series of 200 hours" on the same subject
32	VM36.015	1347460441	1	130	In Cairo, we can confirm that Egyptian police have now removed the demonstrators who had entered our embassy grounds earlier today
32	VM36.017	1347460720	2	249	Secretary of State Hilary Clinton said: "Some have sought to justify this vicious behaviour as a response to inflammatory material posted on the internet. The United States deplores any intentional effort to denigrate the religious beliefs of others
32	VM36.018	1347463155	1	71	Almost 3,000 Salafist demonstrators and ultras protested at the embassy
32	VM36.019	1347463155	1	87	Thousands of Egyptian riot police were at the embassy following the breach of the walls
32	VM36.020	1347463155	1	82	protesters also scrawled the words "There is no God but God" on the compound walls
32	VM36.021	1347463811	2	104	a few hours after the Cairo incident, an armed mob converged on the consulate in Benghazi in the evening
32	VM36.022	1347463811	3	84	fierce clashes between the Libyan army and an armed militia outside the US consulate
32	VM36.023	1347464672	3	187	Innocence of Muslims by Israeli-American filmmaker Sam Bacile, according to ''The Daily Telegraph'' depicted Muhammad as an advocate of pedophilia and a homosexual, showing him having sex
32	VM36.024	1347466504	2	43	mortar hit a car Stevens tried to escape in
32	VM36.025	1347468543	2	257	Mitt Romney said of his opponent, President Barack Obama's, reaction: "I'm outraged by the attacks on American diplomatic missions in Libya and Egypt and by the related stories US ambassador to Libya, 3 staff killed in Benghazi attack over 'anti-Islam' film
32	VM36.026	1347468543	1	119	renewing an older line of attack in which Romney accused Obama of apologising to the world for America's foreign policy
32	VM36.027	1347470535	1	137	Romney went on to describe as "disgraceful" the Obama administration's first response of "sympathiz[ing] with those who waged the attacks
32	VM36.028	1347471351	2	177	President Barack Obama said that he "strongly condemned this outrageous attack" on US diplomatic facilites.  He further ordered that security be increased at all such facilities
32	VM36.029	1347473200	2	276	prime minister says: While strongly condemning any attempt to abuse the person of the Prophet PBUH, or an insult to our holy places and prejudice against the faith, we reject and strongly condemn the use of force to terrorize innocent people and the killing of innocent people
32	VM36.031	1347474165	2	56	Marine FAST team was send to Libya to help with security
32	VM36.032	1347475056	1	198	It also reaffirmed "the depth of relationship between the peoples of Libya and the U.S., which grew closer with the positions taken by the U.S. government in support of the revolution of February 17
